Title,Call No,Copy No,Rayon,Branch
Lean In EXPORT EDITION,DP,19042,B7,1
Quiet: The Power of Introverts in a World That Can't Stop Talking,DP,19066,B7,1
The Big Book of Simulation Modeling: Multimethod Modeling with Anylogic 6,GI,12022,B4,1
Initiation à l’analyse complexe - Cours et exercices corrigés (Références sciences),MA,6040,B3,1
Liberez votre creativite (French Edition),DP,19050,B7,1
La Bete et la Belle (Folio policier) (French Edition),FR,16056,B5,1
Moloch,LA,17052,B5,1
Le Principe LOL2A: ou La perfection du monde (Bien-être (10665)) (French Edition),DP,19040,B7,1
Comment Se Faire Des Amis (Le Livre de Poche) (French Edition),DP,19010,B7,1
Eugénie Grandet (French Edition),FR,16044,B5,1
Les Noces fabuleuses du Polonais (Best) (French Edition),FR,16136,B5,6
The Goal,DP,19082,B7,1
Peak: How Great Companies Get Their Mojo from Maslow,DP,19061,B7,1
Crossing the Unknown Sea: Work as a Pilgrimage of Identity,DP,19012,B7,1
Stupeur Et Tremblements,FR,16188,B5,1
How Will You Measure Your Life?,DP,19025,B7,1
L5: World Folk Tales (2nd Edition) (Penguin Readers (Graded Readers)),LA,17035,B5,1
Spectral Methods for Axisymmetric Domains,MA,6078,B3,1
"TÉLÉCOMMUNICATIONS - Réseaux informatiques - Adressage IP, modèle OSI, éthernet, VLAN, routage. Cours et exercices corrigés (niveau A) (Technosup)",IT 8021,B3,1,Main
Ordinary Differential Equations (Universitext),MA,6065,B3,1
ECONOMIE INTERNATIONALE 9E (ECO GESTION) (French Edition),EF,10006,B3,2
La science selon Henri Poincaré: La science et l'hypothèse - La valeur de la science - Science et méthode (IDEM) (French Edition),SH,18022,B6,2
Theory of Shells (Volume 3) (Mathematical Elasticity (Volume 3)),PH 262,B1,1,Main
LHC : le boson de Higgs (Le Collège) (French Edition),SH,18031,B6,1
Les lois du chaos (Champs sciences (792)) (French Edition),FR,16135,B5,1
La Science et l'hypothèse (Champs sciences),SH,18021,B6,2
"Fractales, hasard et finance (Champs sciences (904)) (French Edition)",EF,10011,B3,1
Les Tactiques de Chronos (Champs sciences (877)) (French Edition),PI,21014,B8,1
1Q84 - Livre 2 (2) (Littérature étrangère) (French Edition),FR,16003,B5,1
The Physics of Low-dimensional Semiconductors: An Introduction,PH 1441,B1,1,Main
Lectures On Phase Transitions And The Renormalization Group (Frontiers in Physics),DM,27044,B9,1
La Boîte à outils de mon parcours professionnel (BàO La Boîte à Outils) (French Edition),DP,19032,B7,1
Apprendre à programmer avec Python 3 (Noire) (French Edition),IT 8004,B3,1,Main
Le must de l innovation (LES CAHIERS HARVARD) (French Edition),BU,14003,B4,1
El plan de marketing en la práctica (Libros profesionales) (Spanish Edition),MK,15003,B4,1
Fundamentos y técnicas de investigación comercial (Libros profesionales) (Spanish Edition),BU,14010,B4,1
Gérer les références produits standardiser ou diversifier: la méthode diversité (ED ORGANISATION),GI,12006,B4,1
L'univers élégant (French Edition),FR,16150,B5,1
Profils et pratiques d'entrepreneurs camerounais: Expériences et témoignages (Diversité culturelle et dynamique des organisations) (French Edition),BU,14005,B4,1
eléments de micro-économie. théorie et applications - 8ème édition (PRÉCIS DOMAT),EF,10008,B3,1
"Feedback Control of Dynamic Systems, Global Edition [Paperback] [Jan 01, 2014] Gene F. Franklin, Abbas Emami- Naeini J. Da Powell",PH 1857,B1,1,Main
Les guerres d'Afrique: Des origines à nos jours (Documents) (French Edition),HP,20047,B8,1
Éléments de physique statistique (Les cours) (French Edition),PH 1806,B1,1,Main
Les Libertins Baroques T03 (Ldp Bib.Essais) (French Edition),FR,16134,B5,1
